,Currency,Name,Valid Date,Bid,Ask,Source
85,LAK,lao kip,30/09/2025,0.0041,0.0041,ferates_vs
86,LSL,lesotsky loti,30/09/2025,5.0906,5.149,ferates_vs
87,LRD,liberian dollar,30/09/2025,0.4924,0.4934,ferates_vs
88,LBP,lebanese pound,30/09/2025,0.001,0.001,ferates_vs
89,LYD,libyan dinar,30/09/2025,16.4171,16.452,ferates_vs
90,MUR,mauritius rupee,30/09/2025,1.9299,1.9514,ferates_vs
91,MRO,mauritania ougulya,30/09/2025,0.2228,0.2233,ferates_vs
92,MGA,malagasy ariary,30/09/2025,0.0199,0.0199,ferates_vs
93,MOP,makaosskaya patacas,30/09/2025,11.0451,11.0905,ferates_vs
94,MKD,macedonian denar,30/09/2025,1.684,1.6876,ferates_vs
95,MWK,malawian kwacha,30/09/2025,0.0506,0.0517,ferates_vs
96,MYR,malaysian ringgit,30/09/2025,20.9928,21.1276,ferates_vs
97,MVR,maldivian rufiyaa,30/09/2025,5.7175,5.7594,ferates_vs
98,MXN,mexican peso,30/09/2025,4.8293,4.856,ferates_vs
99,MZN,mozambican metical,30/09/2025,1.4007,1.4036,ferates_vs
100,MNT,mongolian tugrik,30/09/2025,0.0246,0.0247,ferates_vs
101,MMK,myanmar kyat,30/09/2025,0.0244,0.0244,ferates_vs
102,NAD,namibian dollar,30/09/2025,5.0906,5.149,ferates_vs
103,NPR,nepalese rupee,30/09/2025,0.6237,0.6264,ferates_vs
104,NGN,nigerian naira,30/09/2025,0.0597,0.0599,ferates_vs
105,NIO,nicaragua cordoba,30/09/2025,2.4197,2.4249,ferates_vs
106,NZD,new zealand dollar,30/09/2025,51.0724,51.5274,ferates_vs
107,XPF,pacific franc,30/09/2025,0.8687,0.875,ferates_vs
108,AED,uae dirham,30/09/2025,24.1238,24.1863,ferates_vs
109,OMR,omani rial,30/09/2025,230.1604,230.6874,ferates_vs
110,PKR,pakistani rupee,30/09/2025,0.3148,0.3159,ferates_vs
111,PAB,panama balboa,30/09/2025,88.6211,88.8099,ferates_vs
112,PGK,new guinean kina,30/09/2025,20.5069,21.2167,ferates_vs
113,PYG,paraguayan guarani,30/09/2025,0.0126,0.0126,ferates_vs
114,PEN,peruvian nuevo sol,30/09/2025,25.4644,25.5362,ferates_vs
115,RWF,rwanda franc,30/09/2025,0.0607,0.0615,ferates_vs
116,RON,romanian leu,30/09/2025,20.3976,20.5683,ferates_vs
117,SVC,salvadoran colon,30/09/2025,10.1281,10.1497,ferates_vs
118,WST,samoa tala,30/09/2025,30.9996,32.7975,ferates_vs
119,STD,good sao tome and principe,30/09/2025,0.0043,0.0043,ferates_vs
120,SAR,saudi arabian riyal,30/09/2025,23.6266,23.682,ferates_vs
121,SZL,swaziland lilageni,30/09/2025,5.0906,5.149,ferates_vs
122,SHP,saint helena pound,30/09/2025,118.5484,119.5382,ferates_vs
123,SCR,seychelles rupee,30/09/2025,6.0871,6.1001,ferates_vs
124,RSD,serbian dinar,30/09/2025,0.8859,0.8897,ferates_vs
125,SYP,syrian pound,30/09/2025,0.0136,0.0136,ferates_vs
126,SBD,solomon islands dollar,30/09/2025,10.4972,11.1856,ferates_vs
127,SOS,somali shilling,30/09/2025,0.1561,0.1564,ferates_vs
128,SDG,sudanese pound,30/09/2025,0.1468,0.1482,ferates_vs
129,SRD,surinamese dollar,30/09/2025,2.3414,2.3714,ferates_vs
130,SLL,sierra leone leone,30/09/2025,0.0039,0.0039,ferates_vs
131,TJS,tajik somoni,30/09/2025,9.4295,9.4496,ferates_vs
132,THB,thai baht,30/09/2025,2.7445,2.7607,ferates_vs
133,TWD,taiwan dollar,30/09/2025,2.9069,2.9159,ferates_vs
134,TZS,tanzanian shilling,30/09/2025,0.0357,0.0366,ferates_vs
135,TOP,tonga pa'ang,30/09/2025,36.02,37.8286,ferates_vs
136,TTD,trinidad and tobago dollar,30/09/2025,13.2156,13.2438,ferates_vs
