,Currency,Name,Valid Date,Bid,Ask
104,PKR,pakistani rupee,09/05/2025,0.0126,0.0128
105,PAB,panama balboa,09/05/2025,3.5338,3.5827
106,PGK,new guinean kina,09/05/2025,0.8647,0.8767
107,PYG,paraguayan guarani,09/05/2025,0.0004,0.0004
108,PEN,peruvian nuevo sol,09/05/2025,0.9682,0.9874
109,RWF,rwanda franc,09/05/2025,0.0025,0.0026
110,RON,romanian leu,09/05/2025,0.7727,0.7909
111,SVC,salvadoran colon,09/05/2025,0.4039,0.4095
112,WST,samoa tala,09/05/2025,1.2910,1.3152
113,SAR,saudi arabian riyal,09/05/2025,0.9419,0.9554
114,SZL,swaziland lilageni,09/05/2025,0.1930,0.1976
115,SHP,saint helena pound,09/05/2025,4.6678,4.7725
116,SCR,seychelles rupee,09/05/2025,0.2429,0.2462
117,RSD,serbian dinar,09/05/2025,0.0339,0.0345
118,SBD,solomon islands dollar,09/05/2025,0.4312,0.4417
119,SOS,somali shilling,09/05/2025,0.0062,0.0063
120,SDG,sudanese pound,09/05/2025,0.0079,0.0080
121,SRD,surinamese dollar,09/05/2025,0.0963,0.0979
122,TJS,tajik somoni,09/05/2025,0.3393,0.3440
123,THB,thai baht,09/05/2025,0.1063,0.1090
124,TWD,taiwan dollar,09/05/2025,0.1170,0.1190
125,TZS,tanzanian shilling,09/05/2025,0.0013,0.0013
126,TOP,tonga pa'ang,09/05/2025,1.5261,1.5567
127,TTD,trinidad and tobago dollar,09/05/2025,0.5217,0.5289
128,TND,tunisian dinar,09/05/2025,1.1725,1.1930
129,TMT,new manat,09/05/2025,1.0084,1.0252
130,TRY,turkish lira,09/05/2025,0.0907,0.0937
131,UGX,ugandan shilling,09/05/2025,0.0010,0.0010
132,UZS,uzbekistan sum,09/05/2025,0.0003,0.0003
133,UYU,uruguayan peso,09/05/2025,0.0844,0.0858
134,FJD,fijian dollar,09/05/2025,1.5768,1.6015
135,PHP,philippine peso,09/05/2025,0.0633,0.0648
136,FKP,falkland islands,09/05/2025,4.6678,4.7725
137,CLP,chilean peso,09/05/2025,0.0038,0.0039
138,LKR,sri lanka rupee,09/05/2025,0.0118,0.0120
139,ETB,ethiopian birr,09/05/2025,0.0256,0.0270
140,ZAR,south african rand,09/05/2025,0.1929,0.1976
141,SSP,south sudanese pound,09/05/2025,0.0008,0.0008
142,JMD,jamaican dollar,09/05/2025,0.0222,0.0225
